ExternalCustomerId,TransactionDate,SalesOrderHeaderId,SalesOrderLineId,Quantity,NetAmount,ExternalProductId
1317860999268,2019-02-20 12:27:00.000,2617728,19388618,1,21.780,24534247866468
1320052457572,2019-03-07 04:00:24.000,2617729,19388619,1,24.200,24534248128612
1317858148452,2019-02-24 06:15:00.000,2617730,19388620,1,29.700,24534185771108
1317856706660,2019-02-25 11:08:00.000,2617731,19388621,1,48.400,24534224470116
1317861752932,2019-02-19 20:53:00.000,2617732,19388622,1,42.900,24690599329892
1317861752932,2019-02-19 20:53:00.000,2617732,19388623,1,66.000,24534189408356
1317861752932,2019-02-19 20:53:00.000,2617732,19388624,1,26.400,24534170632292
1317856444516,2019-02-26 13:12:00.000,2617733,19388625,1,70.400,24534224404580
1319622836324,2019-03-07 02:09:36.000,2617734,19388626,1,132.000,24534157230180
1342645174372,2019-03-11 12:29:02.000,2617735,19388627,1,165.000,24534218244196
1318184091748,2019-03-06 18:32:25.000,2617736,19388628,1,88.000,24534171222116
1338885177444,2019-03-10 21:18:35.000,2617737,19388629,1,110.000,24690858098788
1317856641124,2019-02-25 12:00:00.000,2617738,19388630,1,44.000,24534170632292
1324359385188,2019-03-08 01:41:00.000,2617739,19388631,1,132.000,24534169452644
1324359385188,2019-03-08 01:41:00.000,2617739,19388632,1,44.000,24534170632292
1324359385188,2019-03-08 01:41:00.000,2617739,19388633,1,19.800,24534244786276
1323059708004,2019-03-07 18:59:15.000,2617740,19388634,1,71.500,24534211166308
1323059708004,2019-03-07 18:59:15.000,2617740,19388635,1,132.000,24534157131876
1332786856036,2019-03-09 19:57:45.000,2617741,19388636,1,24.200,24534248161380
1332786856036,2019-03-09 19:57:45.000,2617741,19388637,1,0.000,24534248161380
1332786856036,2019-03-09 19:57:45.000,2617741,19388638,2,48.400,24534247899236
1317856346212,2019-02-26 13:12:00.000,2617742,19388639,1,39.330,24690607456356
1317856346212,2019-02-26 13:12:00.000,2617742,19388640,1,45.380,24534233645156
1317853888612,2019-03-04 05:39:00.000,2617743,19388641,1,132.000,24534157131876
1317853888612,2019-03-04 05:39:00.000,2617743,19388642,1,110.000,24534204776548
1317853888612,2019-03-04 05:39:00.000,2617743,19388643,1,44.000,24534195339364
1317855101028,2019-03-02 15:14:00.000,2617744,19388644,1,38.500,24534176989284
1317855101028,2019-03-02 15:14:00.000,2617744,19388645,1,132.000,24534169485412
1323358486628,2019-03-07 20:22:38.000,2617745,19388646,1,28.600,24534182985828
1323358486628,2019-03-07 20:22:38.000,2617745,19388647,1,0.000,24534244851812
1323358486628,2019-03-07 20:22:38.000,2617745,19388648,1,26.400,24534179676260
